dataset_name,is_vision,is_grounding,base_weight,upweight_weight,weight_changed,packed_rows,base_samples_seen,upweight_samples_seen,base_epochs,upweight_epochs,gcs_path
pixmo_ama,True,False,0.006954826823125597,0.006954826823125597,False,29899,14243.5,14243.5,0.4764,0.4764,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/pixmo_ama/train_seq_len_8193
pixmo_docs,True,False,0.006931909200023861,0.006931909200023861,False,814222,14196.6,14196.6,0.0174,0.0174,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/pixmo_docs/train_seq_len_8193
openbee_honey_general_sharegpt4o_v1_en,True,False,0.006875795344918613,0.006875795344918613,False,23531,14081.6,14081.6,0.5984,0.5984,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_sharegpt4o_v1_en/train_seq_len_8193/
openbee_honey_chart_dvqa_v1_en,True,False,0.006492585703533099,0.006492585703533099,False,22451,13296.8,13296.8,0.5923,0.5923,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_dvqa_v1_en/train_seq_len_8193/
mammoth_wit,True,False,0.006403088178639453,0.006403088178639453,False,193802,13113.5,13113.5,0.0677,0.0677,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_wit/train_seq_len_8193
mavis_de_geo_cot_v1,True,False,0.00629323608148447,0.00629323608148447,False,175013,12888.5,12888.5,0.0736,0.0736,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mavis_de_geo_cot_v1/train_seq_len_8193
openbee_honey_grounding_and_counting_clevr_v1_en,True,True,0.006247162469969289,0.0031235812349846444,True,22844,12794.2,6397.1,0.5601,0.28,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_clevr_v1_en/train_seq_len_8193/
openbee_honey_chart_robut_wikisql_v1_en,True,False,0.005852963728573454,0.005852963728573454,False,20507,11986.9,11986.9,0.5845,0.5845,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_robut_wikisql_v1_en/train_seq_len_8193/
mammoth_tinychart_train,True,False,0.005848504776428496,0.005848504776428496,False,178748,11977.7,11977.7,0.067,0.067,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_tinychart_train/train_seq_len_8193
places365,True,False,0.005613216930427786,0.005613216930427786,False,202200,11495.9,11495.9,0.0569,0.0569,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/places365/train_seq_len_8193
